product_id,question_id,question_text,question_date,answer_id,answer_text,answer_date,answer_helpful_yes,answer_helpful_no
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-1,Recusandae labore illo iste enim quod!,7 months ago,11,9
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-2,Illo odio ut magni!,3 months ago,11,5
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-3,Quod quia est illum qui vel qui dolores est ea!,11 months ago,6,5
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-4,Omnis omnis placeat est nostrum!,1 months ago,11,9
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-5,Sunt inventore ut non quasi sit voluptas laudantium aut!,2 months ago,10,7
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-6,Eveniet et sunt earum praesentium eius vero!,7 months ago,7,7
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-7,Consequatur doloremque expedita eos et cum error earum maxime fuga!,10 months ago,5,9
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-8,Voluptatibus doloremque consequatur quisquam eum est consequatur dolorem!,5 months ago,6,2
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-9,Veritatis quia adipisci harum!,2 months ago,7,10
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-10,Quidem soluta eum at saepe quia adipisci alias rerum!,0 months ago,4,9
1,1-1,Aut voluptatem ratione rerum aspernatur dolorum tenetur in voluptas?,7 months ago,1-1-11,Minus dignissimos earum quaerat qui labore consequatur asperiores quos!,9 months ago,7,2
1,1-2,Non deleniti non debitis illo eligendi repellat ut eaque?,6 months ago,1-2-1,Vel qui nostrum est voluptate fuga eos dolor!,8 months ago,8,1
1,1-2,Non deleniti non debitis illo eligendi repellat ut eaque?,6 months ago,1-2-2,Distinctio quae rerum quaerat omnis!,8 months ago,9,10
1,1-2,Non deleniti non debitis illo eligendi repellat ut eaque?,6 months ago,1-2-3,Ipsa consequatur quis qui est iste voluptatem!,1 months ago,5,9
1,1-2,Non deleniti non debitis illo eligendi repellat ut eaque?,6 months ago,1-2-4,Molestiae non quod perferendis incidunt porro!,0 months ago,4,6
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-1,Tempore sunt non consequatur quis temporibus sed ex sunt!,4 months ago,4,1
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-2,Dolores voluptatum sunt atque praesentium molestias qui!,10 months ago,5,4
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-3,Voluptas nihil et aut!,8 months ago,9,8
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-4,Deserunt sequi rem ut quibusdam eum fugiat!,1 months ago,8,5
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-5,Aut sapiente aut commodi quae eos dicta ea!,0 months ago,11,3
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-6,Et et quia ratione dolor natus qui rem et impedit!,7 months ago,8,7
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-7,Voluptatem ut est aliquam voluptas aperiam!,6 months ago,8,10
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-8,Eius ducimus nam ullam qui magnam eos at autem!,3 months ago,7,1
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-9,Et atque perferendis voluptate qui velit ullam maiores dolorum ad!,3 months ago,7,4
1,1-3,Maiores corrupti ut labore ab?,1 months ago,1-3-10,Neque et sed!,7 months ago,3,2
1,1-4,Porro quisquam cumque?,7 months ago,1-4-1,Vel vitae sit dolor non autem!,3 months ago,6,3
1,1-4,Porro quisquam cumque?,7 months ago,1-4-2,Error dolor accusamus laudantium et libero vero!,4 months ago,9,4
1,1-4,Porro quisquam cumque?,7 months ago,1-4-3,Omnis nam eius est!,8 months ago,2,11
1,1-4,Porro quisquam cumque?,7 months ago,1-4-4,Enim assumenda quisquam et harum ut ea itaque voluptate!,3 months ago,7,4
1,1-4,Porro quisquam cumque?,7 months ago,1-4-5,Quibusdam quis incidunt architecto!,1 months ago,11,1
1,1-4,Porro quisquam cumque?,7 months ago,1-4-6,Fugiat perferendis eum consequuntur vitae eos sunt harum quisquam!,1 months ago,8,6
1,1-4,Porro quisquam cumque?,7 months ago,1-4-7,Eius porro velit quibusdam perferendis enim doloremque harum ea occaecati!,10 months ago,9,6
1,1-4,Porro quisquam cumque?,7 months ago,1-4-8,Odio sapiente ut similique vel aut omnis ut!,3 months ago,4,1
1,1-5,Recusandae iusto aut sint cum nulla molestiae aliquam debitis dolorem?,2 months ago,1-5-1,Tenetur beatae quisquam!,7 months ago,2,4
